index,id,user_screen_name,name,text,created_at,userid,timestamp_ms,followers_count,userid_str,text_1
1,720741176324726784,PersecutionLive,,"An Isil video of the demolition of the Temple of Baalshamin, another Palmyra icon, in August 2015 https://t.co/77HnXBUGRA",Thu Apr 14 22:31:01 +0000 2016,3100845040,1460673061816,174,3100845040,"An Isil video of the demolition of the Temple of Baalshamin, another Palmyra icon, in August 2015 https://t.co/77HnXBUGRA"
2,720741342255513600,sidewaysburnout,,"Israel destroys 3 homes, public park amid mass demolition campaign https://t.co/XqZsEdzfzG",Thu Apr 14 22:31:41 +0000 2016,104442690,1460673101377,9220,104442690,"Israel destroys 3 homes, public park amid mass demolition campaign https://t.co/XqZsEdzfzG"
3,720741343518175234,alansvl,,PJ Harvey / The Hope Six Demolition Project: https://t.co/8Lo91JAtER,Thu Apr 14 22:31:41 +0000 2016,11630222,1460673101678,28,11630222,PJ Harvey / The Hope Six Demolition Project: https://t.co/8Lo91JAtER
4,720741547638018048,benign0,,Throwback: Rappler seen to be mounting a vicious 'demolition job' against Senator Bongbong Marcos! https://t.co/E7qy6juOoO,Thu Apr 14 22:32:30 +0000 2016,237423693,1460673150344,1719,237423693,Throwback: Rappler seen to be mounting a vicious 'demolition job' against Senator Bongbong Marcos! https://t.co/E7qy6juOoO
5,720741586171068416,hhaiya50,,"Preservations file lawsuit to prevent demolition of Pheil Hotel, National Bank buildings - https://t.co/PEITJTH3Ad",Thu Apr 14 22:32:39 +0000 2016,2481703728,1460673159531,12175,2481703728,"Preservations file lawsuit to prevent demolition of Pheil Hotel, National Bank buildings - https://t.co/PEITJTH3Ad"
6,720741790891032576,PriceOnPrint,,"RT @ListonGroup: Nice view of Bennett's Hill from the roof of our demolition project. 
#birmimgham #demolition #smashinbrum https://t.co/NW",Thu Apr 14 22:33:28 +0000 2016,474384862,1460673208340,763,474384862,"RT @ListonGroup: Nice view of Bennett's Hill from the roof of our demolition project. 
#birmimgham #demolition #smashinbrum https://t.co/NW"
7,720742269943463937,altierieverardo,,Makita HM1307CB Demolition Demo Hammer Breaker Concrete Tile Chipper Jackhammer https://t.co/7wxNnFDzek https://t.co/uiGKjTJaGo,Thu Apr 14 22:35:22 +0000 2016,3066017949,1460673322555,97,3066017949,Makita HM1307CB Demolition Demo Hammer Breaker Concrete Tile Chipper Jackhammer https://t.co/7wxNnFDzek https://t.co/uiGKjTJaGo
8,720742458628308993,CurtisKFOX_CBS,,"Three years ago today was covering City Hall demolition, tomorrow the El Paso Chihuahuas take the field at... https://t.co/QFBVW39F4u",Thu Apr 14 22:36:07 +0000 2016,581238843,1460673367541,2244,581238843,"Three years ago today was covering City Hall demolition, tomorrow the El Paso Chihuahuas take the field at... https://t.co/QFBVW39F4u"
9,720742560147353600,SocialInLaredo,,Demolition starts on Tex Mex Building https://t.co/PEe2Qa4byR,Thu Apr 14 22:36:31 +0000 2016,953895853,1460673391745,4849,953895853,Demolition starts on Tex Mex Building https://t.co/PEe2Qa4byR
10,720742624769011712,jazz_singh82,,RT @SsSukham: Delhi govt. Ordered demolition of the part of Gurudwara sis ganj sahib https://t.co/v3enQSHOgu,Thu Apr 14 22:36:47 +0000 2016,187822100,1460673407152,36,187822100,RT @SsSukham: Delhi govt. Ordered demolition of the part of Gurudwara sis ganj sahib https://t.co/v3enQSHOgu
