index,id,user_screen_name,name,text,created_at,userid,timestamp_ms,followers_count,userid_str,text_1
1,722791930292088832,ElvisNixonMovie,,"RT @colbertlateshow: Although we play it very seriously, its just ****ing crazy.  @KevinSpacey on #ElvisAndNixon #LSSC",Wed Apr 20 14:19:59 +0000 2016,4707512189,1461161999663,367,4707512189,"RT @colbertlateshow: Although we play it very seriously, its just ****ing crazy.  @KevinSpacey on #ElvisAndNixon #LSSC"
2,722793970175049729,fashonscreen,,"Unusual mix of Politics with 70's style #Film trailer for #ElvisAndNixon 
https://t.co/W4NqI4OPUG",Wed Apr 20 14:28:06 +0000 2016,3314860534,1461162486009,761,3314860534,"Unusual mix of Politics with 70's style #Film trailer for #ElvisAndNixon 
https://t.co/W4NqI4OPUG"
3,722795779480363009,FilmRatings,,Elvis &amp; Nixon rated R for some language. @ElvisNixonMovie #ElvisAndNixon,Wed Apr 20 14:35:17 +0000 2016,1102133790,1461162917381,2801,1102133790,Elvis &amp; Nixon rated R for some language. @ElvisNixonMovie #ElvisAndNixon
4,722795820928479234,AsYouWatchPod,,Older episode on Michael Shannon(#MidnightSpecial #ElvisAndNixon ) https://t.co/PT111QCFEo w/ @LifeVsFilm https://t.co/s6A6eEIr9s,Wed Apr 20 14:35:27 +0000 2016,774140352,1461162927263,623,774140352,Older episode on Michael Shannon(#MidnightSpecial #ElvisAndNixon ) https://t.co/PT111QCFEo w/ @LifeVsFilm https://t.co/s6A6eEIr9s
5,722797446934306816,Makaka14383579,,RT @THR: Kevin Spacey Reveals the Secret to Playing Richard Nixon https://t.co/7soVU93qi9 #ElvisAndNixon https://t.co/tU88wtqvN8,Wed Apr 20 14:41:54 +0000 2016,722794936064548864,1461163314933,1,722794936064548864,RT @THR: Kevin Spacey Reveals the Secret to Playing Richard Nixon https://t.co/7soVU93qi9 #ElvisAndNixon https://t.co/tU88wtqvN8
6,722798217109352448,EStreetCinema,,We open #ELVISANDNIXON this Friday and The King himself will be stopping by to celebrate! Stay tuned for more info! https://t.co/r8JwKAh85U,Wed Apr 20 14:44:58 +0000 2016,113130209,1461163498557,4940,113130209,We open #ELVISANDNIXON this Friday and The King himself will be stopping by to celebrate! Stay tuned for more info! https://t.co/r8JwKAh85U
7,722798218820591617,LTNewYork,,We open #ELVISANDNIXON this Friday and The King himself will be stopping by to celebrate! Stay tuned for more info! https://t.co/EU440wUVXq,Wed Apr 20 14:44:58 +0000 2016,80922397,1461163498965,313,80922397,We open #ELVISANDNIXON this Friday and The King himself will be stopping by to celebrate! Stay tuned for more info! https://t.co/EU440wUVXq
8,722798492947599360,_StaySkeptical,,This #ElvisAndNixon movie looks awesome ,Wed Apr 20 14:46:04 +0000 2016,53447809,1461163564322,640,53447809,This #ElvisAndNixon movie looks awesome 
9,722798737651855360,sehol,,RT @sunshine_cinema: We open #ELVISANDNIXON this Friday and The King himself will be stopping by to celebrate! Stay tuned for more info! ht,Wed Apr 20 14:47:02 +0000 2016,21795345,1461163622664,845,21795345,RT @sunshine_cinema: We open #ELVISANDNIXON this Friday and The King himself will be stopping by to celebrate! Stay tuned for more info! ht
10,722799343607136256,kbaileyjava2,,RT @EStreetCinema: We open #ELVISANDNIXON this Friday and The King himself will be stopping by to celebrate! Stay tuned for more info! http,Wed Apr 20 14:49:27 +0000 2016,792809462,1461163767135,764,792809462,RT @EStreetCinema: We open #ELVISANDNIXON this Friday and The King himself will be stopping by to celebrate! Stay tuned for more info! http
11,722799749808558081,valonfox,,Elvis Presley:undercover drug agent or wanna-be? Find out what we've learned next #FOX13GMM #ElvisAndNixon,Wed Apr 20 14:51:03 +0000 2016,38680612,1461163863981,10208,38680612,Elvis Presley:undercover drug agent or wanna-be? Find out what we've learned next #FOX13GMM #ElvisAndNixon
12,722800050401742849,GingerLanier,,"RT @WashTimes: New #film #ElvisAndNixon fictionalizes meeting of singer and president. #HouseOfCards 
https://t.co/DSnhu06jHY https://t.co/",Wed Apr 20 14:52:15 +0000 2016,2261405917,1461163935648,3853,2261405917,"RT @WashTimes: New #film #ElvisAndNixon fictionalizes meeting of singer and president. #HouseOfCards 
https://t.co/DSnhu06jHY https://t.co/"
13,722802861092900865,HSoat050713,,@joeysulipeck Are you going to see #ElvisAndNixon Bowtie?,Wed Apr 20 15:03:25 +0000 2016,1411148504,1461164605769,72,1411148504,@joeysulipeck Are you going to see #ElvisAndNixon Bowtie?
14,722803485717172224,1059SUNNYFM,,"Recognize this photo? Win tix to the movie inspired by it, @ElvisNixonMovie: https://t.co/70cs9X8kz8 https://t.co/VnMxm8LYcm",Wed Apr 20 15:05:54 +0000 2016,25074924,1461164754691,1642,25074924,"Recognize this photo? Win tix to the movie inspired by it, @ElvisNixonMovie: https://t.co/70cs9X8kz8 https://t.co/VnMxm8LYcm"
15,722804287814799360,Slant_Magazine,,#ElvisAndNixon is taken with comfy gags that celebrate these men's ownership of pop culture. https://t.co/nk0RMjMv9Q https://t.co/VzZjbLdWDa,Wed Apr 20 15:09:05 +0000 2016,16842917,1461164945926,11056,16842917,#ElvisAndNixon is taken with comfy gags that celebrate these men's ownership of pop culture. https://t.co/nk0RMjMv9Q https://t.co/VzZjbLdWDa
16,722804740912861186,TheCriticalReel,,I want to see #ElvisAndNixon this very minute. I don't care how you do it. Exhume their bodies if you have to.,Wed Apr 20 15:10:53 +0000 2016,2309811560,1461165053953,74,2309811560,I want to see #ElvisAndNixon this very minute. I don't care how you do it. Exhume their bodies if you have to.
17,722805813065027586,jwhargissr,,"Next time #Hollywood does an #Elvis movie, #ElvisAndNixon Invite @TomFelton with black dyed hair to play @ElvisPresley #RT",Wed Apr 20 15:15:09 +0000 2016,324978399,1461165309574,502,324978399,"Next time #Hollywood does an #Elvis movie, #ElvisAndNixon Invite @TomFelton with black dyed hair to play @ElvisPresley #RT"
18,722807221864648729,ZMFilmWizard,,"@FilmMpc's review of #ElvisandNixon ""an interesting piece of art imitating life"" on https://t.co/gPs3ujbAa1 https://t.co/fMRH4bVdaI",Wed Apr 20 15:20:45 +0000 2016,616738646,1461165645458,290,616738646,"@FilmMpc's review of #ElvisandNixon ""an interesting piece of art imitating life"" on https://t.co/gPs3ujbAa1 https://t.co/fMRH4bVdaI"
19,722808076508594177,sunshine_cinema,,Tickets for #ELVISANDNIXON are on sale now! https://t.co/olfBgDJdFc,Wed Apr 20 15:24:09 +0000 2016,112087860,1461165849221,3359,112087860,Tickets for #ELVISANDNIXON are on sale now! https://t.co/olfBgDJdFc
20,722808077234208768,LTNewYork,,Tickets for #ELVISANDNIXON are on sale now! https://t.co/AjHWGCTopb,Wed Apr 20 15:24:09 +0000 2016,80922397,1461165849394,314,80922397,Tickets for #ELVISANDNIXON are on sale now! https://t.co/AjHWGCTopb
21,722809929979957250,benjisacco,,"@FilmMpc's review of #ElvisandNixon ""an interesting piece of art imitating life"" on https://t.co/KViyCqp6Th https://t.co/pzKnmQ9mVE",Wed Apr 20 15:31:31 +0000 2016,233053499,1461166291123,212,233053499,"@FilmMpc's review of #ElvisandNixon ""an interesting piece of art imitating life"" on https://t.co/KViyCqp6Th https://t.co/pzKnmQ9mVE"
22,722812064901693440,LyndaHalligan,,"In honor of ""Elvis and Nixon"", I'm counting down the Top 5 U.S. Presidents that Might Have Made Good Rock Stars... on KX 93.5 NOW!!!",Wed Apr 20 15:40:00 +0000 2016,316146406,1461166800128,842,316146406,"In honor of ""Elvis and Nixon"", I'm counting down the Top 5 U.S. Presidents that Might Have Made Good Rock Stars... on KX 93.5 NOW!!!"
23,722812811819110401,WillTheLandMan,,"@FilmMpc's review of #ElvisandNixon ""an interesting piece of art imitating life"" on https://t.co/vGEqrh3LBd https://t.co/DG0TZDBdFw",Wed Apr 20 15:42:58 +0000 2016,60246606,1461166978207,494,60246606,"@FilmMpc's review of #ElvisandNixon ""an interesting piece of art imitating life"" on https://t.co/vGEqrh3LBd https://t.co/DG0TZDBdFw"
24,722815686876073984,_xchiara,,RT @THR: Kevin Spacey Reveals the Secret to Playing Richard Nixon https://t.co/7soVU93qi9 #ElvisAndNixon https://t.co/tU88wtqvN8,Wed Apr 20 15:54:23 +0000 2016,1064980178,1461167663674,1362,1064980178,RT @THR: Kevin Spacey Reveals the Secret to Playing Richard Nixon https://t.co/7soVU93qi9 #ElvisAndNixon https://t.co/tU88wtqvN8
25,722817122351493120,mytalk1071,,"""This photo of Elvis and Nixon is the most requested photo from the National Archives"" https://t.co/47nBvs5VYo -Lori and Julia",Wed Apr 20 16:00:05 +0000 2016,94586657,1461168005918,10317,94586657,"""This photo of Elvis and Nixon is the most requested photo from the National Archives"" https://t.co/47nBvs5VYo -Lori and Julia"
26,722817204920516608,alanshenanigan,,"@FilmMpc's review of #ElvisandNixon ""an interesting piece of art imitating life"" on https://t.co/oeexZbzK7P https://t.co/N0aWWhp4gb",Wed Apr 20 16:00:25 +0000 2016,700461458656731138,1461168025604,2,700461458656731138,"@FilmMpc's review of #ElvisandNixon ""an interesting piece of art imitating life"" on https://t.co/oeexZbzK7P https://t.co/N0aWWhp4gb"
27,722817806186622977,MarshaDubrow,,#ElvisAndNixon #film re their #WhiteHouse meeting's a hunka burnin' luv @KevinSpacey's #Nixon not #FrankUnderwood Saw preview @USNatArchives,Wed Apr 20 16:02:48 +0000 2016,69611482,1461168168957,350,69611482,#ElvisAndNixon #film re their #WhiteHouse meeting's a hunka burnin' luv @KevinSpacey's #Nixon not #FrankUnderwood Saw preview @USNatArchives
28,722818824257581056,SamTheMailman,,Review: @ElvisNixonMovie Is Greatness! @bleeckerstfilms https://t.co/x0FGTp8fAP @KevinSpacey @ColinHanks @tweetsonurface @alexpettyfer,Wed Apr 20 16:06:51 +0000 2016,17410741,1461168411684,1783,17410741,Review: @ElvisNixonMovie Is Greatness! @bleeckerstfilms https://t.co/x0FGTp8fAP @KevinSpacey @ColinHanks @tweetsonurface @alexpettyfer
29,722818824291164160,redcarpetcrash,,Review: @ElvisNixonMovie Is Greatness! @bleeckerstfilms https://t.co/UYSK1d4bls @KevinSpacey @ColinHanks @tweetsonurface @alexpettyfer,Wed Apr 20 16:06:51 +0000 2016,46662532,1461168411692,20277,46662532,Review: @ElvisNixonMovie Is Greatness! @bleeckerstfilms https://t.co/UYSK1d4bls @KevinSpacey @ColinHanks @tweetsonurface @alexpettyfer
30,722766292470611969,sofiavanberkel,,RT @THR: Kevin Spacey Reveals the Secret to Playing Richard Nixon https://t.co/7soVU93qi9 #ElvisAndNixon https://t.co/tU88wtqvN8,Wed Apr 20 12:38:07 +0000 2016,213361622,1461155887130,1859,213361622,RT @THR: Kevin Spacey Reveals the Secret to Playing Richard Nixon https://t.co/7soVU93qi9 #ElvisAndNixon https://t.co/tU88wtqvN8
31,722824678029459457,ElvisNixonMovie,,"Step aside, Frank Underwood. 
#KevinSpacey is President Nixon. #ElvisAndNixon #FU2016 https://t.co/CsLmDGfNSd",Wed Apr 20 16:30:07 +0000 2016,4707512189,1461169807332,367,4707512189,"Step aside, Frank Underwood. 
#KevinSpacey is President Nixon. #ElvisAndNixon #FU2016 https://t.co/CsLmDGfNSd"
32,722825433092198400,filmandtvnow,,Elvis &amp; Nixon: A Brand New Trailer Has Arrived: https://t.co/8AV5GoJjJq #ElvisAndNixon #KevinSpacey #MichaelShannon https://t.co/Dx3tdse9Ue,Wed Apr 20 16:33:07 +0000 2016,2288567624,1461169987353,26545,2288567624,Elvis &amp; Nixon: A Brand New Trailer Has Arrived: https://t.co/8AV5GoJjJq #ElvisAndNixon #KevinSpacey #MichaelShannon https://t.co/Dx3tdse9Ue
33,722825896969670656,_sfiorata_,,"RT @ElvisNixonMovie: Step aside, Frank Underwood. 
#KevinSpacey is President Nixon. #ElvisAndNixon #FU2016 https://t.co/CsLmDGfNSd",Wed Apr 20 16:34:57 +0000 2016,312632459,1461170097950,351,312632459,"RT @ElvisNixonMovie: Step aside, Frank Underwood. 
#KevinSpacey is President Nixon. #ElvisAndNixon #FU2016 https://t.co/CsLmDGfNSd"
34,722778620129894400,Czar_Pedro,,RT @THR: Kevin Spacey Reveals the Secret to Playing Richard Nixon https://t.co/7soVU93qi9 #ElvisAndNixon https://t.co/tU88wtqvN8,Wed Apr 20 13:27:06 +0000 2016,1053882680,1461158826273,280,1053882680,RT @THR: Kevin Spacey Reveals the Secret to Playing Richard Nixon https://t.co/7soVU93qi9 #ElvisAndNixon https://t.co/tU88wtqvN8
35,722800422382145536,archivesfdn,,Thanks to all who came out to @ElvisNixonMovie last night! Be as cool as the King: shop at https://t.co/T0pPikdldk https://t.co/i3RTwwTrRN,Wed Apr 20 14:53:44 +0000 2016,1618603819,1461164024335,2788,1618603819,Thanks to all who came out to @ElvisNixonMovie last night! Be as cool as the King: shop at https://t.co/T0pPikdldk https://t.co/i3RTwwTrRN
36,722827377571536896,Elvis_News,,Kevin Spacey talking about #ElvisAndNixon film - https://t.co/FjgCmcpvoe,Wed Apr 20 16:40:50 +0000 2016,111133717,1461170450953,8386,111133717,Kevin Spacey talking about #ElvisAndNixon film - https://t.co/FjgCmcpvoe
37,722827848189362176,myNewYorkeye,,"RT @aRTShrian: #ElvisAndNixon is a wonderful, must watch film. @KevinSpacey, Michael, @alexpettyfer, @ColinHanks, @realjknoxville https://t",Wed Apr 20 16:42:43 +0000 2016,623748349,1461170563157,2447,623748349,"RT @aRTShrian: #ElvisAndNixon is a wonderful, must watch film. @KevinSpacey, Michael, @alexpettyfer, @ColinHanks, @realjknoxville https://t"
38,722827944645644289,DL_Music,,"RT @ElvisNixonMovie: Step aside, Frank Underwood. 
#KevinSpacey is President Nixon. #ElvisAndNixon #FU2016 https://t.co/CsLmDGfNSd",Wed Apr 20 16:43:06 +0000 2016,121899281,1461170586154,1071,121899281,"RT @ElvisNixonMovie: Step aside, Frank Underwood. 
#KevinSpacey is President Nixon. #ElvisAndNixon #FU2016 https://t.co/CsLmDGfNSd"
39,722829129565888512,dferriero,,"RT @archivesfdn: Excited to welcome our members to an exclusive preview of @ElvisNixonMovie, based on one of our fav Archives pics! https:/",Wed Apr 20 16:47:48 +0000 2016,26325750,1461170868661,3649,26325750,"RT @archivesfdn: Excited to welcome our members to an exclusive preview of @ElvisNixonMovie, based on one of our fav Archives pics! https:/"
40,722829478326456324,HitHouseMusic,,"#ElvisAndNixon #TrailerMusic by #TheHitHouse's @DanDiaz481!
""Agent Elvis"" from 0:39-1:07: https://t.co/l9s6v4uNxK https://t.co/LsOxz8ok6Q",Wed Apr 20 16:49:11 +0000 2016,278151444,1461170951812,1742,278151444,"#ElvisAndNixon #TrailerMusic by #TheHitHouse's @DanDiaz481!
""Agent Elvis"" from 0:39-1:07: https://t.co/l9s6v4uNxK https://t.co/LsOxz8ok6Q"
41,722829489323925506,dferriero,,RT @archivesfdn: Thanks to all who came out to @ElvisNixonMovie last night! Be as cool as the King: shop at https://t.co/T0pPikdldk https:/,Wed Apr 20 16:49:14 +0000 2016,26325750,1461170954434,3649,26325750,RT @archivesfdn: Thanks to all who came out to @ElvisNixonMovie last night! Be as cool as the King: shop at https://t.co/T0pPikdldk https:/
42,722832918318616576,Kaytanomour,,KEVIN SPACEY IS PLAYING NIXON IN ELVIS AND NIXON. ZOD IS ELVIS. THIS IS THE BEST DAY OF MY LIFE,Wed Apr 20 17:02:51 +0000 2016,2934301875,1461171771970,40,2934301875,KEVIN SPACEY IS PLAYING NIXON IN ELVIS AND NIXON. ZOD IS ELVIS. THIS IS THE BEST DAY OF MY LIFE
43,722827615275511808,aRTShrian,,"#ElvisAndNixon is a wonderful, must watch film. @KevinSpacey, Michael, @alexpettyfer, @ColinHanks, @realjknoxville https://t.co/sT8VB1R5py",Wed Apr 20 16:41:47 +0000 2016,2629726599,1461170507626,17955,2629726599,"#ElvisAndNixon is a wonderful, must watch film. @KevinSpacey, Michael, @alexpettyfer, @ColinHanks, @realjknoxville https://t.co/sT8VB1R5py"
44,722835542593777664,Elvis_News,,"Hey @KevinSpacey It's not true! Elvis did not hate The Beatles - 
https://t.co/fcwCtyxT9f #ElvisAndNixon #ElvisPresley",Wed Apr 20 17:13:17 +0000 2016,111133717,1461172397646,8386,111133717,"Hey @KevinSpacey It's not true! Elvis did not hate The Beatles - 
https://t.co/fcwCtyxT9f #ElvisAndNixon #ElvisPresley"
45,722835601066561537,EmmaPeel_Knight,,"RT @ElvisNixonMovie: Step aside, Frank Underwood. 
#KevinSpacey is President Nixon. #ElvisAndNixon #FU2016 https://t.co/CsLmDGfNSd",Wed Apr 20 17:13:31 +0000 2016,506131716,1461172411587,641,506131716,"RT @ElvisNixonMovie: Step aside, Frank Underwood. 
#KevinSpacey is President Nixon. #ElvisAndNixon #FU2016 https://t.co/CsLmDGfNSd"
46,722835993812819969,Blodwyn_KH69_,,@ElvisNixonMovie @EmmaPeel_Knight K Spacey :  Very good actor !,Wed Apr 20 17:15:05 +0000 2016,3448481055,1461172505225,503,3448481055,@ElvisNixonMovie @EmmaPeel_Knight K Spacey :  Very good actor !
47,722836579136315392,EmmaPeel_Knight,,@Blodwyn_KH69_  He IS Americas best living actor ;-) @KevinSpacey @ElvisNixonMovie,Wed Apr 20 17:17:24 +0000 2016,506131716,1461172644777,641,506131716,@Blodwyn_KH69_  He IS Americas best living actor ;-) @KevinSpacey @ElvisNixonMovie
48,722836707960197120,dkbritt85,,RT @ThePlaylist: It's The King &amp; The Crook In New Trailer For #ElvisAndNixon https://t.co/ukCj1jMlrI https://t.co/Xy2i32IG7H,Wed Apr 20 17:17:55 +0000 2016,37338146,1461172675491,102,37338146,RT @ThePlaylist: It's The King &amp; The Crook In New Trailer For #ElvisAndNixon https://t.co/ukCj1jMlrI https://t.co/Xy2i32IG7H
49,722835992919597058,ThePlaylist,,It's The King &amp; The Crook In New Trailer For #ElvisAndNixon https://t.co/ukCj1jMlrI https://t.co/Xy2i32IG7H,Wed Apr 20 17:15:05 +0000 2016,13986352,1461172505012,56722,13986352,It's The King &amp; The Crook In New Trailer For #ElvisAndNixon https://t.co/ukCj1jMlrI https://t.co/Xy2i32IG7H
50,722838029061197824,egweb24,,RT @EStreetCinema: We open #ELVISANDNIXON this Friday and The King himself will be stopping by to celebrate! Stay tuned for more info! http,Wed Apr 20 17:23:10 +0000 2016,741322076,1461172990466,324,741322076,RT @EStreetCinema: We open #ELVISANDNIXON this Friday and The King himself will be stopping by to celebrate! Stay tuned for more info! http
51,722808209141080064,Jason_EntFocus,,New Elvis &amp; Nixon trailer released starring Michael Shannon &amp; Kevin Spacey https://t.co/KIedHKhcHE #elvisandnixon https://t.co/5hqxPxZDpX,Wed Apr 20 15:24:40 +0000 2016,53005936,1461165880843,1779,53005936,New Elvis &amp; Nixon trailer released starring Michael Shannon &amp; Kevin Spacey https://t.co/KIedHKhcHE #elvisandnixon https://t.co/5hqxPxZDpX
52,722839981371297792,virtualnihilist,,Movie Review:  #ElvisAndNixon https://t.co/vB8vglqI59,Wed Apr 20 17:30:55 +0000 2016,204088555,1461173455933,466,204088555,Movie Review:  #ElvisAndNixon https://t.co/vB8vglqI59
53,722779901087105024,loveindiefilm,,"RT @TedHope: **** ""In quick 86 minutes, you will find it hard to wipe the smile away from your face."" #ElvisAndNixon https://t.co/XmKAjNTLHU",Wed Apr 20 13:32:11 +0000 2016,286255780,1461159131677,284,286255780,"RT @TedHope: **** ""In quick 86 minutes, you will find it hard to wipe the smile away from your face."" #ElvisAndNixon https://t.co/XmKAjNTLHU"
54,722840568833777664,banjobrothers,,I think  a sanctioned bike even might be in order.. ELVIS AND NIXON: Official Trailer https://t.co/TZmUOwHs1o,Wed Apr 20 17:33:15 +0000 2016,18272339,1461173595995,3154,18272339,I think  a sanctioned bike even might be in order.. ELVIS AND NIXON: Official Trailer https://t.co/TZmUOwHs1o
55,722798218380185600,sunshine_cinema,,We open #ELVISANDNIXON this Friday and The King himself will be stopping by to celebrate! Stay tuned for more info! https://t.co/vI4HPYFtuS,Wed Apr 20 14:44:58 +0000 2016,112087860,1461163498860,3359,112087860,We open #ELVISANDNIXON this Friday and The King himself will be stopping by to celebrate! Stay tuned for more info! https://t.co/vI4HPYFtuS
