index,id,user_screen_name,name,text,created_at,userid,timestamp_ms,followers_count,userid_str,text_1
1,720616082558611456,HappySalmanFan,,"RT @glamsham: .@iamsrk might rule 2016 with @FanTheFilm &amp; @RaeesTheFilm, but gear up for @BeingSalmanKhan&gt; https://t.co/cjnrnsv2ps https://",Thu Apr 14 14:13:57 +0000 2016,1713690158,1460643237138,8931,1713690158,"RT @glamsham: .@iamsrk might rule 2016 with @FanTheFilm &amp; @RaeesTheFilm, but gear up for @BeingSalmanKhan&gt; https://t.co/cjnrnsv2ps https://"
2,720616087658881026,RouaaAshraf,,RT @VGhodgaonkar: One day to go for @FanTheFilm ! First day first show! #FANTomorrow super excited to watch @iamsrk kill it! #FAN https://t,Thu Apr 14 14:13:58 +0000 2016,2185144812,1460643238354,843,2185144812,RT @VGhodgaonkar: One day to go for @FanTheFilm ! First day first show! #FANTomorrow super excited to watch @iamsrk kill it! #FAN https://t
3,720616088342523904,IAMsinghrk,,"RT @TradeTrivia: #FAN getting good feedback from #UAE audiences..

@FanTheFilm @iamsrk",Thu Apr 14 14:13:58 +0000 2016,249512593,1460643238517,68,249512593,"RT @TradeTrivia: #FAN getting good feedback from #UAE audiences..

@FanTheFilm @iamsrk"
4,720616092914356224,iGurmanjotSingh,,"RT @SRKwarrior786: @fanthefilm FAN DAY TOMORROW 
Srk on Sony Max 
https://t.co/KOCxToG6Qz",Thu Apr 14 14:13:59 +0000 2016,3007719181,1460643239607,128,3007719181,"RT @SRKwarrior786: @fanthefilm FAN DAY TOMORROW 
Srk on Sony Max 
https://t.co/KOCxToG6Qz"
5,720616105899786241,jgsrk02,,@iamsrk @SRKUniverse @FanTheFilm @SRKFC1 @SRK_FC @SRK_King waiting for tommorow First day first show @IMAX #Wadala #MRKHAN #KING #BAADHSHAH,Thu Apr 14 14:14:02 +0000 2016,2913519000,1460643242703,2,2913519000,@iamsrk @SRKUniverse @FanTheFilm @SRKFC1 @SRK_FC @SRK_King waiting for tommorow First day first show @IMAX #Wadala #MRKHAN #KING #BAADHSHAH
6,720616142155431936,Bellokingkhan,,RT @SRKUniverseNG: #Fan boxoffice opening for first  show in all multiplexes in  hyderabad : SOLD OUT. #FANTomorrow @iamsrk @fanthefilm via,Thu Apr 14 14:14:11 +0000 2016,95872056,1460643251347,1709,95872056,RT @SRKUniverseNG: #Fan boxoffice opening for first  show in all multiplexes in  hyderabad : SOLD OUT. #FANTomorrow @iamsrk @fanthefilm via
7,720616154012782592,IamMansoorKhan,,RT @IAMRAVIRAJESH: Finally our wait came to an hault and here we are mostly near to this most anticipated day 15 april @FanTheFilm in theat,Thu Apr 14 14:14:14 +0000 2016,449780956,1460643254174,3050,449780956,RT @IAMRAVIRAJESH: Finally our wait came to an hault and here we are mostly near to this most anticipated day 15 april @FanTheFilm in theat
8,720616170345238528,faisalhsn19,,RT @rakesh_889: SRK On Sony Max....! @FanTheFilm @iamsrk FAN DAY TOMORROW https://t.co/y4z2nYdN2e,Thu Apr 14 14:14:18 +0000 2016,3302685056,1460643258068,56,3302685056,RT @rakesh_889: SRK On Sony Max....! @FanTheFilm @iamsrk FAN DAY TOMORROW https://t.co/y4z2nYdN2e
9,720616195158708224,faisalhsn19,,"RT @glamsham: .@iamsrk might rule 2016 with @FanTheFilm &amp; @RaeesTheFilm, but gear up for @BeingSalmanKhan&gt; https://t.co/cjnrnsv2ps https://",Thu Apr 14 14:14:23 +0000 2016,3302685056,1460643263984,56,3302685056,"RT @glamsham: .@iamsrk might rule 2016 with @FanTheFilm &amp; @RaeesTheFilm, but gear up for @BeingSalmanKhan&gt; https://t.co/cjnrnsv2ps https://"
10,720616208572162048,priyarani88,,Tickets booked for #FAN @FanTheFilm @iamsrk  jabra excited,Thu Apr 14 14:14:27 +0000 2016,370516988,1460643267182,461,370516988,Tickets booked for #FAN @FanTheFilm @iamsrk  jabra excited
11,720616229795278848,saifniceone,,@JeSuisMessi  how u saw  fan movie ....is fan release in ur country,Thu Apr 14 14:14:32 +0000 2016,2834298486,1460643272242,0,2834298486,@JeSuisMessi  how u saw  fan movie ....is fan release in ur country
12,720616249999273985,KingKhanClub1,,"KING KHAN @iamsrk on IPL Extra Innings T20
 FAN DAY TOMORROW @IPL #RPSvsGL @FanTheFilm https://t.co/8rPur3KH55",Thu Apr 14 14:14:37 +0000 2016,833834401,1460643277059,14647,833834401,"KING KHAN @iamsrk on IPL Extra Innings T20
 FAN DAY TOMORROW @IPL #RPSvsGL @FanTheFilm https://t.co/8rPur3KH55"
