index,id,user_screen_name,name,text,created_at,userid,timestamp_ms,followers_count,userid_str,text_1
1,717148821248024578,aussiecw,,The green room. Very relaxed. Well done to Deloitte's spatial and brand design team #afrbanking16 https://t.co/9gHeYjed0X,Tue Apr 05 00:36:17 +0000 2016,39178643,1459816577623,675,39178643,The green room. Very relaxed. Well done to Deloitte's spatial and brand design team #afrbanking16 https://t.co/9gHeYjed0X
2,717148898251419649,TinaMarieSa,,"Everytime I walk into the Festival of the Lion King green room, I feel like Haruhi walking in on the host club",Tue Apr 05 00:36:35 +0000 2016,290081108,1459816595982,289,290081108,"Everytime I walk into the Festival of the Lion King green room, I feel like Haruhi walking in on the host club"
3,717149154523398144,_JakeMulligan,,"If BLUE RUIN was the work of a stern moralist, GREEN ROOM is the work of a reprehensible madman. Hateful, bloodlusty, honest, I cherish it.",Tue Apr 05 00:37:37 +0000 2016,286384940,1459816657082,628,286384940,"If BLUE RUIN was the work of a stern moralist, GREEN ROOM is the work of a reprehensible madman. Hateful, bloodlusty, honest, I cherish it."
4,717149545579343873,inflamescrime,,Day Worth Livin' For by Jump The Clutch by The Green Room Podcast https://t.co/Dg6kvIJJvZ https://t.co/YzUxB09jsQ,Tue Apr 05 00:39:10 +0000 2016,2424737407,1459816750317,3126,2424737407,Day Worth Livin' For by Jump The Clutch by The Green Room Podcast https://t.co/Dg6kvIJJvZ https://t.co/YzUxB09jsQ
5,717149558413733889,koolieghoulie,,Go see GREEN ROOM. Just do it. Fuck.,Tue Apr 05 00:39:13 +0000 2016,55983983,1459816753377,164,55983983,Go see GREEN ROOM. Just do it. Fuck.
6,717149825515565056,D_A_Kramer,,RT @koolieghoulie: Go see GREEN ROOM. Just do it. Fuck.,Tue Apr 05 00:40:17 +0000 2016,348560884,1459816817059,228,348560884,RT @koolieghoulie: Go see GREEN ROOM. Just do it. Fuck.
7,717149844964524032,L1VID,,They always look ugly in the green room.,Tue Apr 05 00:40:21 +0000 2016,231978938,1459816821696,875,231978938,They always look ugly in the green room.
8,717150140528726016,the_moviebob,,"RT @_JakeMulligan: If BLUE RUIN was the work of a stern moralist, GREEN ROOM is the work of a reprehensible madman. Hateful, bloodlusty, ho",Tue Apr 05 00:41:32 +0000 2016,264050862,1459816892164,19961,264050862,"RT @_JakeMulligan: If BLUE RUIN was the work of a stern moralist, GREEN ROOM is the work of a reprehensible madman. Hateful, bloodlusty, ho"
9,717150355117645824,Blargle_Wargle,,"RT @_JakeMulligan: If BLUE RUIN was the work of a stern moralist, GREEN ROOM is the work of a reprehensible madman. Hateful, bloodlusty, ho",Tue Apr 05 00:42:23 +0000 2016,3313078748,1459816943326,31,3313078748,"RT @_JakeMulligan: If BLUE RUIN was the work of a stern moralist, GREEN ROOM is the work of a reprehensible madman. Hateful, bloodlusty, ho"
10,717150439410679808,mal_coholic,,anyways Green Room was GREAT I'm lowkey a lil traumatized,Tue Apr 05 00:42:43 +0000 2016,432064741,1459816963423,673,432064741,anyways Green Room was GREAT I'm lowkey a lil traumatized
11,717150469248843776,hittingreens11,,The Green Room freestyle https://t.co/kjrFuve790,Tue Apr 05 00:42:50 +0000 2016,2606459072,1459816970537,144,2606459072,The Green Room freestyle https://t.co/kjrFuve790
12,717150476739936256,ThugLucas1,,"@saulnier_jeremy just saw Green Room, phenomenal movie!! Congrats!",Tue Apr 05 00:42:52 +0000 2016,2321321119,1459816972323,258,2321321119,"@saulnier_jeremy just saw Green Room, phenomenal movie!! Congrats!"
13,717150701235924992,Dreamspiderweb,,RT @smackoh: Green room warm up with The Larry Keel Expeience #larrykeelexperience #stevemackphotos https://t.co/GhFspO0Axw,Tue Apr 05 00:43:45 +0000 2016,34081891,1459817025847,5347,34081891,RT @smackoh: Green room warm up with The Larry Keel Expeience #larrykeelexperience #stevemackphotos https://t.co/GhFspO0Axw
14,717150725629849600,CApolitico,,Sometimes you bump into really cool people in the greenroom. @DaveCoulier #SquadGoals #FullHouse4Ever @Studio11LA https://t.co/E0KfFsal7H,Tue Apr 05 00:43:51 +0000 2016,20726800,1459817031663,50776,20726800,Sometimes you bump into really cool people in the greenroom. @DaveCoulier #SquadGoals #FullHouse4Ever @Studio11LA https://t.co/E0KfFsal7H
15,717150778880724992,pdupuis,,"@ZODIAC_MF Sir, I wanted to ask you if youve seen the trailer for Green Room (Blue Ruin director): https://t.co/DKKkjlwbRT #ownage",Tue Apr 05 00:44:04 +0000 2016,22495663,1459817044359,147,22495663,"@ZODIAC_MF Sir, I wanted to ask you if youve seen the trailer for Green Room (Blue Ruin director): https://t.co/DKKkjlwbRT #ownage"
16,717150876167569408,ldenver,,"The ""Green Room"" is a garden #deloittenewsau https://t.co/SxvOxTvagk",Tue Apr 05 00:44:27 +0000 2016,28459907,1459817067554,991,28459907,"The ""Green Room"" is a garden #deloittenewsau https://t.co/SxvOxTvagk"
17,717151223804076032,TheRealRodneyF,,RT @hittingreens11: The Green Room freestyle https://t.co/kjrFuve790,Tue Apr 05 00:45:50 +0000 2016,321098753,1459817150437,752,321098753,RT @hittingreens11: The Green Room freestyle https://t.co/kjrFuve790
18,717151377286414336,tannthegawd,,"To me, Tommie only pretty on the interview clips in the green room. Not through the show scenes.  https://t.co/gljQEwbKnX",Tue Apr 05 00:46:27 +0000 2016,127685584,1459817187030,4753,127685584,"To me, Tommie only pretty on the interview clips in the green room. Not through the show scenes.  https://t.co/gljQEwbKnX"
19,717151651681976322,Kaseykase14,,"@Kaseykase14 
Travels to find tools to get 1 screw out
*is in greenroom with 2 other techs, no notices both directors went home*",Tue Apr 05 00:47:32 +0000 2016,4253586796,1459817252451,146,4253586796,"@Kaseykase14 
Travels to find tools to get 1 screw out
*is in greenroom with 2 other techs, no notices both directors went home*"
20,717152446556995584,ecurvynchic,,Why this girl look totally different in the green room #lahhatl,Tue Apr 05 00:50:41 +0000 2016,37996025,1459817441964,4020,37996025,Why this girl look totally different in the green room #lahhatl
21,717152984803647488,AllysonAJ,,Q&amp;A with Jeremy Saulnier for the movie #GreenRoom as I recover from the heart attack the film https://t.co/yxHjaRcCtb,Tue Apr 05 00:52:50 +0000 2016,48114114,1459817570292,459,48114114,Q&amp;A with Jeremy Saulnier for the movie #GreenRoom as I recover from the heart attack the film https://t.co/yxHjaRcCtb
22,717153353017372674,cjwearne,,RT @MrJThomson: The VERY green Deloitte Green Room is buzzing ahead of the #afrbanking16 https://t.co/1M61emCRb0,Tue Apr 05 00:54:18 +0000 2016,1277359542,1459817658081,12,1277359542,RT @MrJThomson: The VERY green Deloitte Green Room is buzzing ahead of the #afrbanking16 https://t.co/1M61emCRb0
23,717153584479993862,SandraBayabos,,RT @dicksp8jr: Crafty @robbenedict and I snuck into J &amp; J's green room and found the musk! (Apparently they https://t.co/lOlZ4XqMYs,Tue Apr 05 00:55:13 +0000 2016,1689814706,1459817713266,7,1689814706,RT @dicksp8jr: Crafty @robbenedict and I snuck into J &amp; J's green room and found the musk! (Apparently they https://t.co/lOlZ4XqMYs
24,717154113075552257,Mallory_duh,,That bitch fine in the green room,Tue Apr 05 00:57:19 +0000 2016,252951931,1459817839293,3043,252951931,That bitch fine in the green room
25,717154561975148544,FrenchCoffee_1,,Tiarra looks so different In the green room an in the episodes,Tue Apr 05 00:59:06 +0000 2016,741305900,1459817946319,973,741305900,Tiarra looks so different In the green room an in the episodes
26,717154577640886273,anieshaamnesia,,Gotta see Green Room. And Hardcore Henry.,Tue Apr 05 00:59:10 +0000 2016,713198500574461954,1459817950054,13,713198500574461954,Gotta see Green Room. And Hardcore Henry.
27,717155322641702912,Vanyaland617,,"I'm the green room with @AnalogHeartBand before their @rocknrollrumble set, comparing #rumble2016 to American Idol. https://t.co/13dj90DMXG",Tue Apr 05 01:02:07 +0000 2016,1286914704,1459818127676,5087,1286914704,"I'm the green room with @AnalogHeartBand before their @rocknrollrumble set, comparing #rumble2016 to American Idol. https://t.co/13dj90DMXG"
