index,id,user_screen_name,name,text,created_at,userid,timestamp_ms,followers_count,userid_str,text_1
1,715783850736148480,krakow_gamering,,I liked a @YouTube video https://t.co/pONJTaw0X7 HARDCORE HENRY Official TIFF trailer - starring Sharlto Copley,Fri Apr 01 06:12:23 +0000 2016,2481136279,1459491143293,55,2481136279,I liked a @YouTube video https://t.co/pONJTaw0X7 HARDCORE HENRY Official TIFF trailer - starring Sharlto Copley
2,715783881413304322,krakow_gamering,,"I liked a @YouTube video https://t.co/2ZnWuYk8W4 Hardcore Henry | ""Mayhem"" TV Commercial | STX Entertainment",Fri Apr 01 06:12:30 +0000 2016,2481136279,1459491150607,55,2481136279,"I liked a @YouTube video https://t.co/2ZnWuYk8W4 Hardcore Henry | ""Mayhem"" TV Commercial | STX Entertainment"
3,715783944038387713,krakow_gamering,,"I liked a @YouTube video https://t.co/nWxlvDDa7A Hardcore Henry | ""Wild"" TV Commercial | STX Entertainment",Fri Apr 01 06:12:45 +0000 2016,2481136279,1459491165538,55,2481136279,"I liked a @YouTube video https://t.co/nWxlvDDa7A Hardcore Henry | ""Wild"" TV Commercial | STX Entertainment"
4,715784236251357185,Mac_Bear_Pig,,RT @scharpling: HARDCORE HENRY: finally a movie for people who couldnt understand DEADPOOL,Fri Apr 01 06:13:55 +0000 2016,1551920426,1459491235207,120,1551920426,RT @scharpling: HARDCORE HENRY: finally a movie for people who couldnt understand DEADPOOL
5,715784337728356352,dannyxcult_,,RT @shredward69: Hardcore Henry looks tite,Fri Apr 01 06:14:19 +0000 2016,2222243808,1459491259401,261,2222243808,RT @shredward69: Hardcore Henry looks tite
6,715784603869573122,RBK_Brownn,,"Would need a barf bag to see Hardcore Henry, just the commercial makes me nauseous",Fri Apr 01 06:15:22 +0000 2016,1057034484,1459491322854,132,1057034484,"Would need a barf bag to see Hardcore Henry, just the commercial makes me nauseous"
7,715786046328455168,emmaimaii,,hardcore henry,Fri Apr 01 06:21:06 +0000 2016,1269555728,1459491666763,815,1269555728,hardcore henry
8,715786411694272513,MysteryMythic,,"RETRO FRIDAY Stream Time

More Time Travel and the new Hardcore Henry Payday 2 Heists

https://t.co/EJlM4SpSsV",Fri Apr 01 06:22:33 +0000 2016,330671037,1459491753873,156,330671037,"RETRO FRIDAY Stream Time

More Time Travel and the new Hardcore Henry Payday 2 Heists

https://t.co/EJlM4SpSsV"
9,715786789064216576,Tank_the_Hank,,#Bestfuckingmoviename Ever Just sayin Hardcore Henry - https://t.co/HO3uCMTBVs - https://t.co/ykwBQ8Gr02,Fri Apr 01 06:24:03 +0000 2016,235375416,1459491843845,564,235375416,#Bestfuckingmoviename Ever Just sayin Hardcore Henry - https://t.co/HO3uCMTBVs - https://t.co/ykwBQ8Gr02
10,715787361804763137,MovieQuest1,,"Hardcore Henry
April 8th 
#action #adventure #scifi #sharltocopley #haleybennett #timroth #film https://t.co/2Ag4e38gpo",Fri Apr 01 06:26:20 +0000 2016,3873177073,1459491980397,6,3873177073,"Hardcore Henry
April 8th 
#action #adventure #scifi #sharltocopley #haleybennett #timroth #film https://t.co/2Ag4e38gpo"
11,715787928111329282,claystreet88,,Hardcore Henry Official Trailer #1 (2016) First-person Action Movie HD https://t.co/Ag1ioCYG6Z via @YouTube,Fri Apr 01 06:28:35 +0000 2016,1495139078,1459492115415,9,1495139078,Hardcore Henry Official Trailer #1 (2016) First-person Action Movie HD https://t.co/Ag1ioCYG6Z via @YouTube
12,715788889957511168,xGore,,I liked a @YouTube video https://t.co/QOH8L1PPQy Hardcore Henry | Official Trailer | STX Entertainment,Fri Apr 01 06:32:24 +0000 2016,2177660940,1459492344737,885,2177660940,I liked a @YouTube video https://t.co/QOH8L1PPQy Hardcore Henry | Official Trailer | STX Entertainment
13,715789866605395968,patrick01858311,,I'm bored as fuck and YouTube is all I have right now and it's constant hardcore Henry ads are making me hate the movie already,Fri Apr 01 06:36:17 +0000 2016,1037829090,1459492577588,198,1037829090,I'm bored as fuck and YouTube is all I have right now and it's constant hardcore Henry ads are making me hate the movie already
14,715792376053284864,WTFuLO_oKinAT,,I'm tryna see that hardcore Henry movie,Fri Apr 01 06:46:15 +0000 2016,246674916,1459493175887,7192,246674916,I'm tryna see that hardcore Henry movie
15,715792461998723072,nakedcircus_,,"Hardcore Henry is going to give me so much anxiety, idk if I can at through the whole movie at the theater",Fri Apr 01 06:46:36 +0000 2016,1198320812,1459493196378,469,1198320812,"Hardcore Henry is going to give me so much anxiety, idk if I can at through the whole movie at the theater"
